
FileVersion:        1

ResolutionOfTime:   msec

Experiment:         Fetch Task 

BackgroundColor:    0 0 0
TextColor:          255 255 255
TimeCourseColor:    255 255 255
TimeCourseThick:    3
ReferenceFuncColor: 0 0 80
ReferenceFuncThick: 3

NrOfConditions:  3

Win
24
0	7841
9721	17004
17008	22033
33927	40058
42830	48574
82307	88719
126066	132656
143188	150791
152703	160613
161263	168299
171164	176298
224567	230693
256749	262128
262625	267637
277256	282555
283591	291405
292536	298628
323367	331027
381604	386816
389688	395695
406323	411614
412298	418793
420731	426898
427552	434002

Color: 200 46 23

Lose
19
23498	31198
65946	71067
73196	80794
89166	95395
95703	101987
103058	108208
134308	140522
193558	200706
201438	208400
209095	214912
215922	223897
232804	240142
270580	276196
316270	322341
331241	338398
340659	346607
349478	357286
358942	364114
397360	403785

Color: 238 243 33

Rest
43
7841	9721
17004	17008
22033	23498
31198	33927
40058	42830
48574	49946
71067	73196
80794	82307
88719	89166
95395	95703
101987	103058
108208	110066
132656	134308
140522	143188
150791	152703
160613	161263
168299	171164
176298	177558
200706	201438
208400	209095
214912	215922
223897	224567
230693	232804
240142	240749
262128	262625
267637	270580
276196	277256
282555	283591
291405	292536
298628	300270
322341	323367
331027	331241
338398	340659
346607	349478
357286	358942
364114	365604
386816	389688
395695	397360
403785	406323
411614	412298
418793	420731
426898	427552
434002	435550

Color: 0 128 0

